id,cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate,age,compressive_strength,water_cement_ratio,total_binder,coarse_fine_ratio,log_age
0,266.0,114.0,0.0,228.0,0.0,932.0,670.0,365,52.91,0.8571,380.0,1.391,5.9026
2,389.9,189.0,0.0,145.9,22.0,944.7,755.8,28,74.5,0.3742,578.9,1.2499,3.3673
3,362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3,0.4548,551.6,1.2499,1.3863
4,145.0,0.0,179.0,202.0,8.0,824.0,869.0,28,10.54,1.393,324.0,0.9482,3.3673
5,276.4,116.0,90.3,179.6,8.9,870.1,768.3,28,44.28,0.6498,482.7,1.1325,3.3673
6,149.0,139.0,109.0,193.0,6.0,892.0,780.0,28,23.69,1.2952,397.0,1.1436,3.3673
8,212.6,0.0,100.4,159.4,10.4,1003.8,903.8,28,37.4,0.7497,313.0,1.1106,3.3673
9,393.0,0.0,0.0,192.0,0.0,940.6,785.6,90,48.85,0.4885,393.0,1.1973,4.5109
10,313.0,0.0,0.0,178.0,8.0,1000.0,822.0,28,25.1,0.5687,313.0,1.2165,3.3673
13,323.7,282.8,0.0,183.8,10.3,942.7,659.9,7,49.8,0.5678,606.5,1.4285,2.0794
14,173.5,50.1,173.5,164.8,6.5,1006.2,793.5,14,33.01,0.9498,397.1,1.268,2.7081
15,228.0,342.1,0.0,185.7,0.0,955.8,674.3,7,21.92,0.8144,570.1,1.4174,2.0794
16,318.0,0.0,126.0,210.0,6.0,861.0,737.0,28,40.06,0.6604,444.0,1.1682,3.3673
17,250.2,166.8,0.0,203.5,0.0,977.6,694.1,7,19.35,0.8133,417.0,1.4084,2.0794
18,273.0,105.0,82.0,210.0,9.0,904.0,680.0,28,37.17,0.7692,460.0,1.3294,3.3673
19,165.0,128.5,132.1,175.1,8.1,1005.8,746.6,14,33.09,1.0611,425.6,1.3472,2.7081
20,272.8,181.9,0.0,185.7,0.0,1012.4,714.3,28,31.38,0.6807,454.7,1.4173,3.3673
21,165.0,0.0,143.6,163.8,0.0,1005.6,900.9,100,37.96,0.9927,308.6,1.1162,4.6151
22,295.7,0.0,95.6,171.5,8.9,955.1,859.2,56,48.72,0.58,391.3,1.1116,4.0431
23,166.8,250.2,0.0,203.5,0.0,975.6,692.6,3,6.9,1.22,417.0,1.4086,1.3863
24,214.9,53.8,121.9,155.6,9.6,1014.3,780.6,14,38.6,0.724,390.6,1.2994,2.7081
25,249.1,0.0,98.8,158.1,12.8,987.8,889.0,28,30.85,0.6347,347.9,1.1111,3.3673
26,225.0,0.0,0.0,181.0,0.0,1113.0,833.0,7,11.17,0.8044,225.0,1.3361,2.0794
27,313.0,145.0,0.0,178.0,8.0,1002.0,689.0,28,41.05,0.5687,458.0,1.4543,3.3673
28,213.5,0.0,174.2,159.2,11.7,1043.6,771.9,100,52.96,0.7456,387.7,1.352,4.6151
29,339.0,0.0,0.0,197.0,0.0,968.0,781.0,3,13.22,0.5811,339.0,1.2394,1.3863
30,405.0,0.0,0.0,175.0,0.0,1120.0,695.0,28,52.3,0.4321,405.0,1.6115,3.3673
31,393.0,0.0,0.0,192.0,0.0,940.6,785.6,28,39.6,0.4885,393.0,1.1973,3.3673
32,203.5,305.3,0.0,203.5,0.0,963.4,630.0,90,51.86,1.0,508.8,1.5292,4.5109
36,212.5,0.0,100.4,159.3,8.7,1007.8,903.6,28,31.64,0.7496,312.9,1.1153,3.3673
37,266.2,112.3,87.5,177.9,10.4,909.7,744.5,28,39.42,0.6683,466.0,1.2219,3.3673
38,133.0,200.0,0.0,192.0,0.0,927.4,839.2,7,13.66,1.4435,333.0,1.1051,2.0794
39,297.2,0.0,117.5,174.8,9.5,1022.8,753.5,56,51.96,0.5881,414.7,1.3574,4.0431
40,300.0,0.0,0.0,184.0,0.0,1075.0,795.0,7,15.58,0.6133,300.0,1.3522,2.0794
41,116.0,173.0,0.0,192.0,0.0,909.8,891.9,3,6.28,1.655,289.0,1.0201,1.3863
42,198.6,132.4,0.0,192.0,0.0,978.4,825.5,90,38.07,0.9667,331.0,1.1852,4.5109
44,230.0,0.0,118.3,195.5,4.6,1029.4,758.6,3,10.03,0.85,348.3,1.357,1.3863
45,374.0,189.2,0.0,170.1,10.1,926.1,756.7,56,63.4,0.4548,563.2,1.2239,4.0431
46,385.0,0.0,136.0,158.0,20.0,903.0,768.0,28,55.55,0.4104,521.0,1.1758,3.3673
47,307.0,0.0,0.0,193.0,0.0,968.0,812.0,365,36.15,0.6286,307.0,1.1921,5.9026
48,302.0,0.0,0.0,203.0,0.0,974.0,817.0,28,21.75,0.6722,302.0,1.1922,3.3673
49,141.3,212.0,0.0,203.5,0.0,971.8,748.5,3,4.83,1.4401,353.3,1.2983,1.3863
51,236.0,157.0,0.0,192.0,0.0,972.6,749.1,90,47.78,0.8135,393.0,1.2983,4.5109
54,505.0,0.0,60.0,195.0,0.0,1030.0,630.0,28,64.02,0.3861,565.0,1.6349,3.3673
56,212.6,0.0,100.4,159.4,10.4,1003.8,903.8,14,25.37,0.7497,313.0,1.1106,2.7081
57,252.0,0.0,0.0,185.0,0.0,1111.0,784.0,7,13.71,0.7341,252.0,1.4171,2.0794
58,190.3,0.0,125.2,166.6,9.9,1079.0,798.9,56,31.72,0.8754,315.5,1.3506,4.0431
59,252.5,0.0,0.0,185.7,0.0,1111.6,784.3,28,19.77,0.7354,252.5,1.4173,3.3673
60,266.0,112.0,87.0,178.0,10.0,910.0,745.0,28,39.42,0.6691,465.0,1.2215,3.3673
61,331.0,0.0,0.0,192.0,0.0,879.0,825.0,3,13.52,0.58,331.0,1.0654,1.3863
63,425.0,106.3,0.0,151.4,18.6,936.0,803.7,7,46.8,0.3562,531.3,1.1646,2.0794
64,212.0,141.3,0.0,203.5,0.0,973.4,750.0,28,33.0,0.9599,353.3,1.2978,3.3673
65,165.0,0.0,150.0,182.0,12.0,1023.0,729.0,28,18.03,1.103,315.0,1.4033,3.3673
66,252.1,97.1,75.6,193.8,8.3,835.5,821.4,28,33.4,0.7687,424.8,1.0172,3.3673
68,233.8,0.0,94.6,197.9,4.6,947.0,852.2,56,27.66,0.8464,328.4,1.1112,4.0431
70,289.0,0.0,0.0,192.0,0.0,913.2,895.3,3,11.65,0.6643,289.0,1.02,1.3863
71,183.9,122.6,0.0,203.5,0.0,959.2,800.0,28,24.05,1.1065,306.5,1.199,3.3673
72,254.0,0.0,0.0,198.0,0.0,968.0,863.0,3,9.31,0.7795,254.0,1.1217,1.3863
74,144.0,136.0,106.0,178.0,7.0,941.0,774.0,28,26.14,1.236,386.0,1.2157,3.3673
75,222.4,0.0,96.7,189.3,4.5,967.1,870.3,3,11.58,0.8511,319.1,1.1112,1.3863
76,304.0,76.0,0.0,228.0,0.0,932.0,670.0,365,55.26,0.75,380.0,1.391,5.9026
77,252.3,0.0,98.8,146.3,14.2,987.8,889.0,100,60.95,0.5798,351.1,1.1111,4.6151
78,491.0,26.0,123.0,201.0,3.9,822.0,699.0,56,61.86,0.4094,640.0,1.1759,4.0431
79,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,7,14.59,1.3753,349.0,1.2975,2.0794
81,388.6,97.1,0.0,157.9,12.1,852.1,925.7,7,34.9,0.4063,485.7,0.9205,2.0794
82,333.0,0.0,0.0,192.0,0.0,931.2,842.6,90,41.68,0.5766,333.0,1.1051,4.5109
83,238.1,0.0,94.1,186.7,7.0,949.9,847.0,56,39.59,0.7841,332.2,1.1215,4.0431
84,332.5,142.5,0.0,228.0,0.0,932.0,594.0,365,41.05,0.6857,475.0,1.569,5.9026
85,362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3,0.4548,551.6,1.2499,1.3863
86,142.0,167.0,130.0,174.0,11.0,883.0,785.0,28,44.61,1.2253,439.0,1.1248,3.3673
87,261.9,110.5,86.1,195.4,5.0,895.2,732.6,28,33.72,0.7461,458.5,1.2219,3.3673
89,230.0,0.0,118.3,195.5,4.6,1029.4,758.6,14,20.08,0.85,348.3,1.357,2.7081
90,339.0,0.0,0.0,185.0,0.0,1060.0,754.0,28,31.65,0.5457,339.0,1.4058,3.3673
91,401.8,94.7,0.0,147.4,11.4,946.8,852.1,91,75.5,0.3668,496.5,1.1111,4.5218
92,190.7,0.0,125.4,162.1,7.8,1090.0,804.0,3,15.04,0.85,316.1,1.3557,1.3863
93,331.0,170.0,0.0,195.0,8.0,811.0,802.0,28,56.61,0.5891,501.0,1.0112,3.3673
94,297.8,137.2,106.9,201.3,6.0,878.4,655.3,28,53.52,0.6759,541.9,1.3404,3.3673
95,190.0,190.0,0.0,228.0,0.0,932.0,670.0,270,50.66,1.1999,380.0,1.391,5.6021
96,212.0,0.0,124.8,159.0,7.8,1085.4,799.5,14,31.35,0.75,336.8,1.3576,2.7081
97,213.7,98.1,24.5,181.7,6.9,1065.8,785.4,28,45.71,0.8502,336.3,1.357,3.3673
98,393.0,0.0,0.0,192.0,0.0,940.0,758.0,3,19.11,0.4885,393.0,1.2401,1.3863
99,307.0,0.0,0.0,193.0,0.0,968.0,812.0,90,32.92,0.6286,307.0,1.1921,4.5109
100,397.0,0.0,0.0,185.7,0.0,1040.6,734.3,7,25.45,0.4677,397.0,1.4171,2.0794
101,287.0,121.0,94.0,188.0,9.0,904.0,696.0,28,41.94,0.655,502.0,1.2988,3.3673
102,237.5,237.5,0.0,228.0,0.0,932.0,594.0,180,36.25,0.96,475.0,1.569,5.1985
103,382.0,0.0,0.0,185.0,0.0,1047.0,739.0,7,24.0,0.4843,382.0,1.4168,2.0794
105,238.1,0.0,0.0,185.7,0.0,1118.8,789.3,7,10.34,0.7799,238.1,1.4174,2.0794
106,167.0,75.4,167.0,164.0,7.9,1007.3,770.1,100,56.81,0.982,409.4,1.308,4.6151
107,304.8,0.0,99.6,196.0,9.8,959.4,705.2,28,30.12,0.643,404.4,1.3604,3.3673
108,213.5,0.0,174.2,159.2,11.7,1043.6,771.9,28,44.64,0.7456,387.7,1.352,3.3673
109,313.0,145.0,0.0,127.0,8.0,1000.0,822.0,28,44.52,0.4057,458.0,1.2165,3.3673
110,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,360,44.7,1.3753,349.0,1.2975,5.8889
111,277.1,0.0,97.4,160.6,11.8,973.9,875.6,56,51.04,0.5796,374.5,1.1123,4.0431
114,359.0,19.0,141.0,154.0,10.9,942.0,801.0,7,38.61,0.429,519.0,1.176,2.0794
117,162.0,190.1,148.1,178.8,18.8,838.1,741.4,28,33.76,1.1036,500.2,1.1304,3.3673
119,298.0,137.0,107.0,201.0,6.0,878.0,655.0,28,53.52,0.6745,542.0,1.3404,3.3673
122,213.5,0.0,174.2,154.6,11.7,1052.3,775.5,56,51.43,0.7241,387.7,1.3569,4.0431
123,350.0,0.0,0.0,203.0,0.0,974.0,775.0,56,29.98,0.58,350.0,1.2568,4.0431
124,135.0,105.0,193.0,196.0,6.0,965.0,643.0,28,21.91,1.4517,433.0,1.5008,3.3673
125,182.0,45.2,122.0,170.2,8.2,1059.4,780.7,56,43.5,0.9351,349.2,1.357,4.0431
128,288.4,121.0,0.0,177.4,7.0,907.9,829.5,28,42.14,0.6151,409.4,1.0945,3.3673
129,260.9,100.5,78.3,200.6,8.6,864.5,761.5,28,32.4,0.7688,439.7,1.1352,3.3673
130,252.0,0.0,0.0,186.0,0.0,1111.0,784.0,7,11.47,0.7381,252.0,1.4171,2.0794
131,277.1,0.0,97.4,160.6,11.8,973.9,875.6,14,41.89,0.5796,374.5,1.1123,2.7081
132,200.0,0.0,0.0,180.0,0.0,1125.0,845.0,28,12.25,0.9,200.0,1.3313,3.3673
133,439.0,177.0,0.0,186.0,11.1,884.9,707.9,56,71.7,0.4237,616.0,1.25,4.0431
135,332.5,142.5,0.0,228.0,0.0,932.0,594.0,270,40.27,0.6857,475.0,1.569,5.6021
136,331.0,0.0,0.0,192.0,0.0,1025.0,821.0,28,31.74,0.58,331.0,1.2485,3.3673
137,212.1,0.0,121.6,180.3,5.7,1057.6,779.3,100,39.61,0.85,333.7,1.3571,4.6151
138,290.4,0.0,96.2,168.1,9.4,961.2,865.0,3,22.5,0.5788,386.6,1.1112,1.3863
141,322.0,0.0,116.0,196.0,10.0,818.0,813.0,28,31.18,0.6087,438.0,1.0061,3.3673
142,173.5,50.1,173.5,164.8,6.5,1006.2,793.5,3,23.08,0.9498,397.1,1.268,1.3863
143,277.0,0.0,0.0,191.0,0.0,968.0,856.0,90,31.25,0.6895,277.0,1.1308,4.5109
144,314.0,145.0,113.0,179.0,8.0,869.0,690.0,28,46.23,0.57,572.0,1.2594,3.3673
145,277.0,117.0,91.0,191.0,7.0,946.0,666.0,28,43.57,0.6895,485.0,1.4204,3.3673
146,152.6,238.7,0.0,200.0,6.3,1001.8,683.9,28,26.86,1.3105,391.3,1.4648,3.3673
147,144.8,0.0,133.6,180.8,11.1,979.5,811.5,28,13.2,1.2485,278.4,1.207,3.3673
148,133.0,200.0,0.0,192.0,0.0,927.4,839.2,3,6.88,1.4435,333.0,1.1051,1.3863
149,295.0,0.0,0.0,185.0,0.0,1069.0,769.0,7,14.8,0.6271,295.0,1.3901,2.0794
151,164.2,0.0,200.1,181.2,12.6,849.3,846.0,28,15.09,1.1035,364.3,1.0039,3.3673
152,387.0,20.0,94.0,157.0,11.6,938.0,845.0,7,41.67,0.4057,501.0,1.11,2.0794
153,172.4,13.6,172.4,156.8,4.1,1006.3,856.4,14,29.75,0.9095,358.4,1.175,2.7081
155,250.0,0.0,95.7,191.8,5.3,948.9,857.2,100,41.16,0.7672,345.7,1.107,4.6151
156,300.0,0.0,120.0,212.0,10.0,878.0,728.0,28,23.84,0.7066,420.0,1.206,3.3673
157,540.0,0.0,0.0,173.0,0.0,1125.0,613.0,180,71.62,0.3204,540.0,1.8352,5.1985
158,362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,55.9,0.4548,551.6,1.2499,2.0794
159,322.0,149.0,0.0,186.0,8.0,951.0,709.0,28,52.42,0.5776,471.0,1.3413,3.3673
160,198.6,132.4,0.0,192.0,0.0,978.4,825.5,7,14.64,0.9667,331.0,1.1852,2.0794
161,375.0,93.8,0.0,126.6,23.4,852.1,992.6,28,56.7,0.3376,468.8,0.8584,3.3673
162,295.7,0.0,95.6,171.5,8.9,955.1,859.2,14,35.23,0.58,391.3,1.1116,2.7081
163,380.0,0.0,0.0,228.0,0.0,932.0,670.0,270,53.3,0.6,380.0,1.391,5.6021
164,425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,33.4,0.3612,531.3,0.9605,1.3863
166,427.5,47.5,0.0,228.0,0.0,932.0,594.0,90,41.54,0.5333,475.0,1.569,4.5109
167,251.4,0.0,118.3,188.5,5.8,1028.4,757.7,14,29.93,0.7498,369.7,1.3572,2.7081
168,446.0,24.0,79.0,162.0,11.6,967.0,712.0,7,52.01,0.3632,549.0,1.3581,2.0794
169,251.8,0.0,99.9,146.1,12.4,1006.0,899.8,3,21.02,0.5802,351.7,1.118,1.3863
170,275.1,0.0,121.4,159.5,9.9,1053.6,777.5,28,51.33,0.5798,396.5,1.3551,3.3673
171,157.0,236.0,0.0,192.0,0.0,935.4,781.2,7,16.89,1.2229,393.0,1.1974,2.0794
172,194.7,0.0,100.5,170.2,7.5,998.0,901.8,14,24.28,0.8741,295.2,1.1067,2.7081
173,326.5,0.0,137.9,199.0,10.8,801.1,792.5,28,38.63,0.6095,464.4,1.0108,3.3673
174,152.0,178.0,139.0,168.0,18.0,944.0,695.0,28,36.35,1.1052,469.0,1.3583,3.3673
175,186.2,124.1,0.0,185.7,0.0,1083.4,764.3,7,8.0,0.9973,310.3,1.4175,2.0794
176,200.0,133.0,0.0,192.0,0.0,965.4,806.2,28,30.44,0.96,333.0,1.1975,3.3673
177,252.3,0.0,98.8,146.3,14.2,987.8,889.0,56,55.83,0.5798,351.1,1.1111,4.0431
179,339.0,0.0,0.0,197.0,0.0,968.0,781.0,180,36.45,0.5811,339.0,1.2394,5.1985
180,157.0,214.0,152.0,200.0,9.0,819.0,704.0,28,33.05,1.2738,523.0,1.1633,3.3673
181,147.8,175.1,0.0,171.2,2.2,1000.0,828.5,28,26.92,1.1582,322.9,1.207,3.3673
184,246.8,0.0,125.1,143.3,12.0,1086.8,800.9,28,52.5,0.5806,371.9,1.357,3.3673
185,304.0,76.0,0.0,228.0,0.0,932.0,670.0,270,54.38,0.75,380.0,1.391,5.6021
187,218.9,0.0,124.1,158.5,11.3,1078.7,794.9,28,30.22,0.724,343.0,1.357,3.3673
188,337.9,189.0,0.0,174.9,9.5,944.7,755.8,3,24.1,0.5176,526.9,1.2499,1.3863
189,310.0,0.0,0.0,192.0,0.0,1012.0,830.0,7,17.24,0.6193,310.0,1.2193,2.0794
190,387.0,20.0,94.0,157.0,11.6,938.0,845.0,3,34.77,0.4057,501.0,1.11,1.3863
193,424.0,22.0,132.0,168.0,8.9,822.0,750.0,7,40.29,0.3962,578.0,1.096,2.0794
194,254.0,0.0,0.0,198.0,0.0,968.0,863.0,365,29.79,0.7795,254.0,1.1217,5.9026
195,167.0,75.4,167.0,164.0,7.9,1007.3,770.1,14,32.9,0.982,409.4,1.308,2.7081
196,246.8,0.0,125.1,143.3,12.0,1086.8,800.9,56,60.32,0.5806,371.9,1.357,4.0431
199,170.3,155.5,0.0,185.7,0.0,1026.6,724.3,28,25.73,1.0904,325.8,1.4173,3.3673
200,277.2,97.8,24.5,160.7,11.2,1061.7,782.5,14,47.71,0.5797,399.5,1.3568,2.7081
201,446.0,24.0,79.0,162.0,11.6,967.0,712.0,56,56.14,0.3632,549.0,1.3581,4.0431
202,255.0,0.0,0.0,192.0,0.0,889.8,945.0,28,18.75,0.7529,255.0,0.9416,3.3673
204,424.0,22.0,132.0,168.0,8.9,822.0,750.0,56,74.36,0.3962,578.0,1.096,4.0431
205,339.0,0.0,0.0,197.0,0.0,968.0,781.0,90,35.17,0.5811,339.0,1.2394,4.5109
206,158.6,148.9,116.0,175.1,15.0,953.3,719.7,28,27.68,1.104,423.5,1.3246,3.3673
207,424.0,22.0,132.0,178.0,8.5,822.0,750.0,28,62.05,0.4198,578.0,1.096,3.3673
208,275.1,0.0,121.4,159.5,9.9,1053.6,777.5,3,23.8,0.5798,396.5,1.3551,1.3863
209,252.0,97.0,76.0,194.0,8.0,835.0,821.0,28,33.4,0.7698,425.0,1.017,3.3673
210,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,3,7.4,0.9372,335.4,1.3574,1.3863
211,181.4,0.0,167.0,169.6,7.6,1055.6,777.8,28,27.77,0.9349,348.4,1.3571,3.3673
212,154.8,183.4,0.0,193.3,9.1,1047.4,696.7,28,18.29,1.2486,338.2,1.5034,3.3673
213,178.0,129.8,118.6,179.9,3.6,1007.3,746.8,56,48.59,1.0106,426.4,1.3488,4.0431
214,212.0,141.3,0.0,203.5,0.0,973.4,750.0,90,39.7,0.9599,353.3,1.2978,4.5109
215,102.0,153.0,0.0,192.0,0.0,887.0,942.0,3,4.57,1.8822,255.0,0.9416,1.3863
216,134.7,0.0,165.7,180.2,10.0,961.0,804.9,28,13.29,1.3377,300.4,1.1939,3.3673
217,251.4,0.0,118.3,188.5,5.8,1028.4,757.7,56,36.97,0.7498,369.7,1.3572,4.0431
218,350.0,0.0,0.0,203.0,0.0,974.0,775.0,14,22.53,0.58,350.0,1.2568,2.7081
220,491.0,26.0,123.0,210.0,3.9,882.0,699.0,3,25.61,0.4277,640.0,1.2618,1.3863
221,275.0,180.0,120.0,162.0,10.4,830.0,765.0,28,76.24,0.5891,575.0,1.085,3.3673
222,359.0,19.0,141.0,154.0,10.9,942.0,801.0,28,62.94,0.429,519.0,1.176,3.3673
223,238.0,0.0,0.0,185.0,0.0,1118.0,789.0,28,17.54,0.7773,238.0,1.417,3.3673
224,313.3,145.0,0.0,178.5,8.0,1001.9,688.7,28,41.05,0.5697,458.3,1.4547,3.3673
225,290.2,193.5,0.0,185.7,0.0,998.2,704.3,7,21.86,0.6399,483.7,1.4173,2.0794
227,153.6,144.2,112.3,220.1,10.1,923.2,657.9,28,16.5,1.4328,410.1,1.4032,3.3673
229,143.0,169.0,143.0,191.0,8.0,967.0,643.0,28,29.72,1.3356,455.0,1.5039,3.3673
230,238.1,0.0,94.1,186.7,7.0,949.9,847.0,3,19.93,0.7841,332.2,1.1215,1.3863
231,158.8,238.2,0.0,185.7,0.0,1040.6,734.3,7,9.62,1.1693,397.0,1.4171,2.0794
232,374.0,0.0,0.0,190.0,7.0,1013.0,730.0,28,39.05,0.508,374.0,1.3877,3.3673
233,288.0,121.0,0.0,177.0,7.0,908.0,829.0,28,42.13,0.6146,409.0,1.0953,3.3673
234,192.0,288.0,0.0,192.0,0.0,929.8,716.1,28,39.32,0.9999,480.0,1.2984,3.3673
235,307.0,0.0,0.0,193.0,0.0,968.0,812.0,180,34.49,0.6286,307.0,1.1921,5.1985
236,388.6,97.1,0.0,157.9,12.1,852.1,925.7,3,28.1,0.4063,485.7,0.9205,1.3863
237,475.0,0.0,0.0,228.0,0.0,932.0,594.0,7,38.6,0.48,475.0,1.569,2.0794
238,173.5,50.1,173.5,164.8,6.5,1006.2,793.5,56,53.77,0.9498,397.1,1.268,4.0431
239,182.0,45.2,122.0,170.2,8.2,1059.4,780.7,3,7.32,0.9351,349.2,1.357,1.3863
243,139.7,163.9,127.7,236.7,5.8,868.6,655.6,28,35.23,1.6942,431.3,1.3249,3.3673
244,425.0,106.3,0.0,151.4,18.6,936.0,803.7,91,66.7,0.3562,531.3,1.1646,4.5218
246,286.3,200.9,0.0,144.7,11.2,1004.6,803.7,91,76.8,0.5054,487.2,1.25,4.5218
250,255.3,98.8,77.0,188.6,6.5,919.0,749.3,28,33.8,0.7387,431.1,1.2265,3.3673
251,213.5,0.0,174.2,154.6,11.7,1052.3,775.5,28,45.94,0.7241,387.7,1.3569,3.3673
253,190.3,0.0,125.2,166.6,9.9,1079.0,798.9,28,24.85,0.8754,315.5,1.3506,3.3673
254,213.7,0.0,174.7,154.8,10.2,1053.5,776.4,28,40.15,0.7243,388.4,1.3569,3.3673
255,212.5,0.0,100.4,159.3,8.7,1007.8,903.6,3,13.54,0.7496,312.9,1.1153,1.3863
257,213.7,0.0,174.7,154.8,10.2,1053.5,776.4,3,17.57,0.7243,388.4,1.3569,1.3863
